,0
0,127.31670454545454
1,3.6988980379971594
2,10.462737926136363
3,3.7062644264914777
4,2.5908769087357957
5,2.2266015625
6,2.3635549094460226
7,2.056287508877841
8,1.399204767400568
9,1.6149799138849432
10,0.682904052734375
11,1.1836393599076704
12,1.4411388050426137
13,5.127562588778408
14,1.676263760653409
15,2.7103959517045455
16,1.86391357421875
17,1.0413109241832386
18,1.047652033025568
19,12.17256747159091
20,33.814609375
21,18.54926136363636
22,0.03777885437011719
23,0.009316335157914595
24,0.007804833325472746
25,0.0031020470099015667
26,0.003065833395177668
27,0.007797012329101563
28,0.003168941627849232
29,0.6347156871448864
30,0.04832170313054865
31,0.003449448455463756
32,0.0034249470450661403
33,0.0034238581223921343
34,0.0034876119006763805
35,0.25638813365589486
36,0.0034301317821849473
37,0.00342950777574019
38,0.003443499261682684
39,0.003573992469094016
40,0.11143547751686789
41,0.0034522526914423164
42,0.003421377051960338
43,0.003425139947371049
44,0.0034258690747347746
45,0.0034493825652382594
46,0.06274994590065697
47,0.00341663273898038
48,0.003429888161745938
49,0.003421484557065097
50,0.0036140829866582696
51,0.10475008184259588
52,0.0460465483231978
53,0.0034253317659551446
54,0.0034294301813299006
55,0.0034485415978865192
56,0.0035039353370666503
57,0.06885914889248934
58,0.003565265482122248
59,0.035562022816051135
60,0.003805856704711914
61,0.00366748029535467
62,0.08691642067649148
63,0.015619477358731357
64,0.0034883167526938695
65,0.0034899501367048787
66,0.0034764922748912463
67,0.008878714821555398
68,0.0628038926558061
69,0.0035691382668235085
70,0.003697436506097967
71,0.003912936557422985
72,0.00939582738009366
73,0.03810152574018998
74,15.89004971590909
75,17.300246803977274
76,13.115570845170454
77,0.29595001220703127
78,0.18171458851207387
79,0.16190532337535513
80,0.18043092207475142
81,0.14598190307617187
82,0.13946773182262073
83,0.12622942837801845
84,0.12003490101207387
85,0.17520491166548297
86,0.14535634821111507
87,0.12287931962446733
88,0.1649289217862216
89,0.25644861394708807
90,14.92217862215909
91,28.788618607954547
92,0.1846221923828125
93,0.1900328896262429
94,0.13224462335759943
95,0.13088043212890624
96,0.14739411787553267
97,0.13566689231178977
98,0.15063430786132812
99,0.1525572343306108
100,0.15265661066228695
101,0.14431053855202414
102,0.17868198741566052
103,0.8829445578835227
104,0.44336062344637783
105,0.24089763294566763
106,0.12839508056640625
107,0.1325094188343395
108,0.1105564394864169
109,0.12083548805930398
110,0.15812863436612218
111,0.1703166198730469
112,0.11748825073242188
113,0.13173782348632812
114,0.1804424910111861
115,0.22375850330699573
116,0.32898598410866475
117,6.894643998579545
118,23.55183771306818
119,0.5273247181285512
120,0.33360001997514205
121,0.3778998357599432
122,0.4086689897017045
123,0.5419669411399147
124,0.5600497159090909
125,0.6549577192826704
126,0.6206806529651988
127,0.5668120228160511
128,0.5620259232954545
129,0.4779328502308238
130,1.4073368696732953
131,1.3048930220170454
132,0.5253059525923295
133,0.47666859019886365
134,0.48693819912997155
135,0.42532112815163353
136,0.4509271795099432
137,0.35243702281605116
138,0.29127971302379263
139,0.2819154774058949
140,0.29408669211647726
141,0.16331278020685372
142,0.24656288840553978
143,10.174864169034091
144,32.02019886363637
145,0.642119140625
146,0.661130204634233
147,0.8485261674360796
148,0.9724515047940341
149,2.5329594282670453
150,0.4363560901988637
151,1.001897860440341
